Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
TRFO3,"4,53","10,32","2,58","0,804","0,00%","1,039","4,65","5,52","7,37","5,12","5,12","14,58%","7,80%","1,43","27,63%","25,01%","0,00","76.165.000,00","0,26","16,47%"
TKNO4,"45,02","10,37","0,70","0,728","4,26%","0,551","1,34","6,23","1,53","4,37","3,52","11,68%","7,02%","3,59","11,83%","6,72%","3.901,70","190.417.000,00","0,02","12,58%"
BESP3,"330,00","10,38","2,47","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","23,77%","0,00","5.183.100.000,00","0,00","1,83%"
SANB11,"39,07","10,42","0,00","0,000","2,64%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","0,00%","121.942.000,00","0,00","0,00","-6,01%"
TCOC4,"27,20","10,43","1,26","1,558","0,00%","0,915","2,65","10,14","3,07","7,89","7,89","15,37%","14,93%","2,53","13,98%","12,06%","0,00","2.812.920.000,00","0,04","16,71%"
NUTR3,"279,70","10,43","2,20","0,476","0,00%","0,535","1,57","7,34","-2,67","8,76","7,95","6,48%","4,56%","2,56","7,95%","21,10%","4.848,40","16.263.000,00","0,55","26,49%"
BRIV4,"8,70","10,46","0,50","0,000","6,65%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,78%","16.207,20","1.542.730.000,00","0,00","30,52%"
BRSR5,"18,70","10,51","0,92","0,000","3,51%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","8,72%","3.214,10","8.344.060.000,00","0,00","10,57%"
PLPL3,"6,86","10,60","6,09","1,555","0,00%","1,458","1,86","5,14","8,04","5,46","5,19","30,23%","14,67%","5,92","38,60%","57,44%","3.674.430,00","230.144.000,00","1,26","0,00%"
ENGI11,"43,03","10,63","2,35","0,768","3,21%","0,343","13,09","5,49","-0,64","10,47","7,31","13,99%","7,91%","1,10","7,67%","22,09%","83.981.800,00","6.648.740.000,00","3,04","15,77%"
CRIV3,"5,22","10,64","0,55","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","5,14%","30.178,60","981.886.000,00","0,00","-4,56%"
